#Raman_shift/cm-1          I_tot                 I_e                   I_h
 -1974.5        5.489005013506E-009   5.570044248808E-008   2.682874717071E-008
 -1974.4        5.491500389668E-009   5.572572781370E-008   2.684091715518E-008
 -1974.3        5.493997479855E-009   5.575103050413E-008   2.685309549667E-008
 -1974.2        5.496496285636E-009   5.577635057529E-008   2.686528220284E-008
 -1974.1        5.498996808586E-009   5.580168804311E-008   2.687747728135E-008
 -1974.0        5.501499050278E-009   5.582704292355E-008   2.688968073988E-008
 -1973.9        5.504003012290E-009   5.585241523258E-008   2.690189258613E-008
 -1973.8        5.506508696200E-009   5.587780498620E-008   2.691411282778E-008
 -1973.7        5.509016103589E-009   5.590321220040E-008   2.692634147255E-008
 -1973.6        5.511525236038E-009   5.592863689122E-008   2.693857852814E-008
 -1973.5        5.514036095131E-009   5.595407907471E-008   2.695082400228E-008
 -1973.4        5.516548682455E-009   5.597953876693E-008   2.696307790270E-008
 -1973.3        5.519062999596E-009   5.600501598397E-008   2.697534023714E-008
 -1973.2        5.521579048145E-009   5.603051074192E-008   2.698761101335E-008
 -1973.1        5.524096829691E-009   5.605602305691E-008   2.699989023908E-008
 -1973.0        5.526616345829E-009   5.608155294507E-008   2.701217792211E-008
 -1972.9        5.529137598154E-009   5.610710042256E-008   2.702447407021E-008
 -1972.8        5.531660588261E-009   5.613266550556E-008   2.703677869116E-008
 -1972.7        5.534185317750E-009   5.615824821026E-008   2.704909179276E-008
 -1972.6        5.536711788220E-009   5.618384855288E-008   2.706141338281E-008
 -1972.5        5.539240001275E-009   5.620946654965E-008   2.707374346913E-008
 -1972.4        5.541769958518E-009   5.623510221681E-008   2.708608205952E-008
 -1972.3        5.544301661554E-009   5.626075557064E-008   2.709842916183E-008
 -1972.2        5.546835111993E-009   5.628642662743E-008   2.711078478389E-008
 -1972.1        5.549370311443E-009   5.631211540348E-008   2.712314893354E-008
 -1972.0        5.551907261516E-009   5.633782191511E-008   2.713552161865E-008
 -1971.9        5.554445963825E-009   5.636354617867E-008   2.714790284709E-008
 -1971.8        5.556986419985E-009   5.638928821053E-008   2.716029262672E-008
 -1971.7        5.559528631614E-009   5.641504802706E-008   2.717269096543E-008
 -1971.6        5.562072600330E-009   5.644082564467E-008   2.718509787111E-008
 -1971.5        5.564618327755E-009   5.646662107978E-008   2.719751335166E-008
 -1971.4        5.567165815510E-009   5.649243434882E-008   2.720993741500E-008
 -1971.3        5.569715065220E-009   5.651826546826E-008   2.722237006905E-008
 -1971.2        5.572266078512E-009   5.654411445456E-008   2.723481132174E-008
 -1971.1        5.574818857013E-009   5.656998132422E-008   2.724726118099E-008
 -1971.0        5.577373402355E-009   5.659586609377E-008   2.725971965477E-008
 -1970.9        5.579929716169E-009   5.662176877973E-008   2.727218675103E-008
 -1970.8        5.582487800088E-009   5.664768939865E-008   2.728466247774E-008
 -1970.7        5.585047655749E-009   5.667362796711E-008   2.729714684286E-008
 -1970.6        5.587609284790E-009   5.669958450170E-008   2.730963985439E-008
